id,Comercial_Name,Social_reason,Activity,Size,Colony,Postal_Code,State,City,Phone,EMAIL,Web_Page,Max_People
0,AGENCIA PARA LA RACIONALIZACION Y MODERNIZACION DEL SISTEMA DE TRANSPORTE PUBLICO DE NUEVO LEON,GOBIERNO DEL ESTADO DE NUEVO LEON ,Regulación y fomento del desarrollo económico,51 a 100 personas,HIDALGO,64290,Nuevo León,Monterrey,,CESAR.VALTIERRA@NUEVOLEON.GOB.MX,,100
1,BASE DE OPERACIONES MIXTA,GOBIERNOFEDERAL ,Impartición de justicia y mantenimiento de la seguridad y el orden público,51 a 100 personas,LAGRANGE,66490,Nuevo León,San Nicolás de los Garza,8183138235,DENUNCIA.7ZM@SEDENA.GOB.MX,WWW.GOB.MX/SEDENA,100
2,CENTRO DE REINSERCION SOCIAL APODACA,AGENCIA DE ADMINISTRACION PENITENCIARIA ,Impartición de justicia y mantenimiento de la seguridad y el orden público,251 y más personas,CENTRO DE REINSERCION SOCIAL APODACA,66600,Nuevo León,Apodaca,,JUANITA.VALDEZ@NUEVOLEON.GOB.MX,,251
3,COMISION EJECUTIVA ESTATAL DE ATENCION A VICTIMAS DE NUEVO LEON,DIRECCIÓN GENERAL ADMINISTRATIVA GOBIERNO ESTATAL ,Administración pública en general,51 a 100 personas,CENTRO DE MONTERREY,64000,Nuevo León,Monterrey,,CEEAVNL@NUEVOLEON.GOB.MX,WWW.NL.GOB.MX,100
4,COMISION ESTATAL DE DERECHOS HUMANOS,GOBIERNO ,Administración pública en general,101 a 250 personas,CIUDAD GUADALUPE CENTRO,64000,Nuevo León,Monterrey,,CEDHNL@CEDHNL.ORG.MX,WWW.CEDHNL.ORG.MX,250
5,CONCERTACION CIUDADANA,SECRETARIA DE CONCERTACION CIUDADANA ,Administración pública en general,101 a 250 personas,FUTURO APODACA,66600,Nuevo León,Apodaca,,CONCERTACIONSOCIAL@APODACA.GOB.MX,,250
6,"DIF ASISTENCIA SOCIAL ,SUB DIRECCION DE GESTORIA SOCIAL",SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE NUEVO LEÓN ,Actividades administrativas de instituciones de bienestar social,51 a 100 personas,CIUDAD GUADALUPE CENTRO,64000,Nuevo León,Monterrey,8120208600,JUAN.GARCIA@NUEVOLEON.GOB.MX,,100
7,DIRECCION DE EDUCACION EXTRAESCOLAR,DIRECCIÓN DE EDUCACIÓN EXTRAESCOLAR ,Actividades administrativas de instituciones de bienestar social,51 a 100 personas,HIDALGO,64290,Nuevo León,Monterrey,,DIRECCION.EXTRAESCOLAR.SE@GMAIL.COM,,100
8,DIRECCION DE PARQUES,MUNICIPIO DE GUADALUPE ,Administración pública en general,51 a 100 personas,FELIPE ANGELES,67170,Nuevo León,Guadalupe,8180076675,PARQUESRECREATIVOS@HOTMAIL.COM,WWW.GUADALUPEKEGRANPARQUE,100
9,DIRECCION GENERAL DE BIENESTAR SOCIAL,MUNICIPIO DE SAN NICOLAS DE LOS GARZA NL ,Actividades administrativas de instituciones de bienestar social,101 a 250 personas,VALLE DORADO,66420,Nuevo León,San Nicolás de los Garza,8181581390,DIF@SANICOLAS.GOB.MX,,250
10,ESTACION DE POLICIA NUMERO 5,ESTACION DE POLICIA NUMERO 5 ,Impartición de justicia y mantenimiento de la seguridad y el orden público,101 a 250 personas,ADOLFO PRIETO,67120,Nuevo León,Guadalupe,8111769135,POLICIAZONA5@GMAIL.COM,,250
11,FOMENTO METROPOLITANO DE MONTERREY,GOBIERNO DEL ESTADO DE NUEVO LEÓN ,Administración pública en general,251 y más personas,URDIALES,64430,Nuevo León,Monterrey,8120338500,ELISEO.HERNADEZ@FOMERREY.GOB.MX,WWW.NL.GOB.MX/FOMERREY,251
